k,method_a,method_b,miss_jaccard,hit_jaccard,cohen_kappa,miss_a,miss_b,miss_intersection,miss_union,rescue_a_to_b,rescue_b_to_a,complementarity_a_to_b,complementarity_b_to_a
7,Proposed,Proposed-v2,0.7,0.8209,0.7257,36,32,28,40,8,4,0.2,0.1
7,Proposed,Qwen3-VL-Rerank-ImgCap+Link,0.383,0.6234,0.3259,36,29,18,47,18,11,0.383,0.234
7,Proposed,Qwen3-VL-Rerank-ImgCap,0.4615,0.6056,0.3871,36,40,24,52,12,16,0.2308,0.3077
7,Proposed,Qwen3-VL-Rerank-Img,0.4348,0.6533,0.399,36,30,20,46,16,10,0.3478,0.2174
7,Proposed,Layout-Order,0.5,0.662,0.4633,36,36,24,48,12,12,0.25,0.25
7,Proposed,Caption-BM25,0.4407,0.5217,0.3105,36,49,26,59,10,23,0.1695,0.3898
7,Proposed,Caption-Dense-v4,0.4355,0.4853,0.2833,36,53,27,62,9,26,0.1452,0.4194
7,Proposed,Zero-shot-CLIP,0.4545,0.5714,0.3569,36,44,25,55,11,19,0.2,0.3455
7,Proposed-v2,Qwen3-VL-Rerank-ImgCap+Link,0.3864,0.6538,0.3488,32,29,17,44,15,12,0.3409,0.2727
7,Proposed-v2,Qwen3-VL-Rerank-ImgCap,0.4118,0.5946,0.3341,32,40,21,51,11,19,0.2157,0.3725
7,Proposed-v2,Qwen3-VL-Rerank-Img,0.3478,0.6203,0.2821,32,30,16,46,16,14,0.3478,0.3043
7,Proposed-v2,Layout-Order,0.5455,0.7183,0.5428,32,36,24,44,8,12,0.1818,0.2727
7,Proposed-v2,Caption-BM25,0.4464,0.5571,0.354,32,49,25,56,7,24,0.125,0.4286
7,Proposed-v2,Caption-Dense-v4,0.371,0.4583,0.2088,32,53,23,62,9,30,0.1452,0.4839
7,Proposed-v2,Zero-shot-CLIP,0.3333,0.5,0.1803,32,44,19,57,13,25,0.2281,0.4386
7,Qwen3-VL-Rerank-ImgCap+Link,Qwen3-VL-Rerank-ImgCap,0.5682,0.7286,0.5738,29,40,25,44,4,15,0.0909,0.3409
7,Qwen3-VL-Rerank-ImgCap+Link,Qwen3-VL-Rerank-Img,0.7353,0.8714,0.7788,29,30,25,34,4,5,0.1176,0.1471
7,Qwen3-VL-Rerank-ImgCap+Link,Layout-Order,0.383,0.6234,0.3259,29,36,18,47,11,18,0.234,0.383
7,Qwen3-VL-Rerank-ImgCap+Link,Caption-BM25,0.322,0.4737,0.1681,29,49,19,59,10,30,0.1695,0.5085
7,Qwen3-VL-Rerank-ImgCap+Link,Caption-Dense-v4,0.3016,0.4211,0.1137,29,53,19,63,10,34,0.1587,0.5397
7,Qwen3-VL-Rerank-ImgCap+Link,Zero-shot-CLIP,0.2807,0.481,0.1113,29,44,16,57,13,28,0.2281,0.4912
7,Qwen3-VL-Rerank-ImgCap,Qwen3-VL-Rerank-Img,0.6279,0.7647,0.6424,40,30,27,43,13,3,0.3023,0.0698
7,Qwen3-VL-Rerank-ImgCap,Layout-Order,0.4902,0.6286,0.4309,40,36,25,51,15,11,0.2941,0.2157
7,Qwen3-VL-Rerank-ImgCap,Caption-BM25,0.3692,0.4225,0.1411,40,49,24,65,16,25,0.2462,0.3846
7,Qwen3-VL-Rerank-ImgCap,Caption-Dense-v4,0.3676,0.3857,0.111,40,53,25,68,15,28,0.2206,0.4118
7,Qwen3-VL-Rerank-ImgCap,Zero-shot-CLIP,0.4483,0.5362,0.3184,40,44,26,58,14,18,0.2414,0.3103
7,Qwen3-VL-Rerank-Img,Layout-Order,0.4043,0.6316,0.3528,30,36,19,47,11,17,0.234,0.3617
7,Qwen3-VL-Rerank-Img,Caption-BM25,0.339,0.48,0.1884,30,49,20,59,10,29,0.1695,0.4915
7,Qwen3-VL-Rerank-Img,Caption-Dense-v4,0.3175,0.4267,0.1318,30,53,20,63,10,33,0.1587,0.5238
7,Qwen3-VL-Rerank-Img,Zero-shot-CLIP,0.3214,0.5065,0.1777,30,44,18,56,12,26,0.2143,0.4643
7,Layout-Order,Caption-BM25,0.4167,0.5,0.2687,36,49,25,60,11,24,0.1833,0.4
7,Layout-Order,Caption-Dense-v4,0.4127,0.4638,0.2423,36,53,26,63,10,27,0.1587,0.4286
7,Layout-Order,Zero-shot-CLIP,0.4286,0.5493,0.3141,36,44,24,56,12,20,0.2143,0.3571
7,Caption-BM25,Caption-Dense-v4,0.5,0.4426,0.2816,49,53,34,68,15,19,0.2206,0.2794
7,Caption-BM25,Zero-shot-CLIP,0.4308,0.4478,0.2229,49,44,28,65,21,16,0.3231,0.2462
7,Caption-Dense-v4,Zero-shot-CLIP,0.4697,0.4531,0.2694,53,44,31,66,22,13,0.3333,0.197
